Kind_of_Business,period,value
Men's clothing stores,2020-01-01,599.0
Men's clothing stores,2020-07-01,405.0
Men's clothing stores,2020-06-01,303.0
Men's clothing stores,2020-03-01,302.0
Men's clothing stores,2020-05-01,155.0
Men's clothing stores,2020-11-01,0.0
Men's clothing stores,2020-10-01,0.0
Men's clothing stores,2020-09-01,401.0
Miscellaneous store retailers,2020-04-01,7319.0
Miscellaneous store retailers,2020-08-01,11842.0
Miscellaneous store retailers,2020-12-01,13939.0
Miscellaneous store retailers,2020-02-01,10302.0
Miscellaneous store retailers,2020-01-01,10394.0
Miscellaneous store retailers,2020-07-01,11992.0
Miscellaneous store retailers,2020-06-01,11544.0
Miscellaneous store retailers,2020-03-01,9580.0
Miscellaneous store retailers,2020-05-01,9812.0
Miscellaneous store retailers,2020-11-01,11988.0
Miscellaneous store retailers,2020-10-01,12400.0
Miscellaneous store retailers,2020-09-01,11604.0
Motor vehicle and parts dealers,2020-04-01,69534.0
Motor vehicle and parts dealers,2020-08-01,115928.0
Motor vehicle and parts dealers,2020-12-01,116492.0
Motor vehicle and parts dealers,2020-02-01,97828.0
Motor vehicle and parts dealers,2020-01-01,93367.0
Motor vehicle and parts dealers,2020-07-01,116233.0
Motor vehicle and parts dealers,2020-06-01,114228.0
Motor vehicle and parts dealers,2020-03-01,82387.0
Motor vehicle and parts dealers,2020-05-01,107362.0
Motor vehicle and parts dealers,2020-11-01,103220.0
Motor vehicle and parts dealers,2020-10-01,114679.0
Motor vehicle and parts dealers,2020-09-01,113058.0
New car dealers,2020-04-01,50131.0
New car dealers,2020-08-01,86015.0
New car dealers,2020-12-01,92388.0
New car dealers,2020-02-01,74360.0
New car dealers,2020-01-01,72074.0
New car dealers,2020-07-01,84691.0
New car dealers,2020-06-01,81593.0
New car dealers,2020-03-01,59487.0
New car dealers,2020-05-01,77773.0
New car dealers,2020-11-01,79269.0
New car dealers,2020-10-01,87522.0
New car dealers,2020-09-01,85909.0
Nonstore retailers,2020-04-01,73022.0
Nonstore retailers,2020-08-01,77168.0
Nonstore retailers,2020-12-01,105157.0
Nonstore retailers,2020-02-01,58864.0
Nonstore retailers,2020-01-01,62245.0
Nonstore retailers,2020-07-01,79072.0
Nonstore retailers,2020-06-01,76015.0
Nonstore retailers,2020-03-01,66414.0
Nonstore retailers,2020-05-01,78134.0
Nonstore retailers,2020-11-01,91542.0
Nonstore retailers,2020-10-01,81386.0
Nonstore retailers,2020-09-01,75540.0
Office supplies and stationery stores,2020-04-01,605.0
Office supplies and stationery stores,2020-08-01,1105.0
Office supplies and stationery stores,2020-12-01,912.0
Office supplies and stationery stores,2020-02-01,816.0
Office supplies and stationery stores,2020-01-01,963.0
Office supplies and stationery stores,2020-07-01,869.0
Office supplies and stationery stores,2020-06-01,780.0
Office supplies and stationery stores,2020-03-01,868.0
Office supplies and stationery stores,2020-05-01,707.0
Office supplies and stationery stores,2020-11-01,724.0
Office supplies and stationery stores,2020-10-01,800.0
Office supplies and stationery stores,2020-09-01,968.0
"Office supplies, stationery, and gift stores",2020-04-01,816.0
"Office supplies, stationery, and gift stores",2020-08-01,2210.0
"Office supplies, stationery, and gift stores",2020-12-01,2616.0
"Office supplies, stationery, and gift stores",2020-02-01,1953.0
"Office supplies, stationery, and gift stores",2020-01-01,2037.0
"Office supplies, stationery, and gift stores",2020-07-01,2020.0
"Office supplies, stationery, and gift stores",2020-06-01,1640.0
"Office supplies, stationery, and gift stores",2020-03-01,1646.0
"Office supplies, stationery, and gift stores",2020-05-01,1220.0
"Office supplies, stationery, and gift stores",2020-11-01,1860.0
"Office supplies, stationery, and gift stores",2020-10-01,2601.0
"Office supplies, stationery, and gift stores",2020-09-01,2153.0
Other clothing stores,2020-04-01,248.0
Other clothing stores,2020-08-01,1158.0
Other clothing stores,2020-12-01,1685.0
Other clothing stores,2020-02-01,1344.0
Other clothing stores,2020-01-01,1225.0
Other clothing stores,2020-07-01,1156.0
Other clothing stores,2020-06-01,946.0
Other clothing stores,2020-03-01,788.0
Other clothing stores,2020-05-01,569.0
Other clothing stores,2020-11-01,1331.0
Other clothing stores,2020-10-01,1171.0
Other clothing stores,2020-09-01,1150.0
Other general merchandise stores,2020-04-01,48635.0
Other general merchandise stores,2020-08-01,52425.0
Other general merchandise stores,2020-12-01,62462.0
Other general merchandise stores,2020-02-01,45529.0
Other general merchandise stores,2020-01-01,44724.0
Other general merchandise stores,2020-07-01,52290.0
Other general merchandise stores,2020-06-01,51454.0
Other general merchandise stores,2020-03-01,55466.0
Other general merchandise stores,2020-05-01,54613.0
Other general merchandise stores,2020-11-01,55729.0
Other general merchandise stores,2020-10-01,53470.0
Other general merchandise stores,2020-09-01,49385.0
Paint and wallpaper stores,2020-04-01,947.0
Paint and wallpaper stores,2020-08-01,1216.0
Paint and wallpaper stores,2020-12-01,945.0
Paint and wallpaper stores,2020-02-01,920.0
Paint and wallpaper stores,2020-01-01,928.0
Paint and wallpaper stores,2020-07-01,1271.0
Paint and wallpaper stores,2020-06-01,1240.0
Paint and wallpaper stores,2020-03-01,1085.0
Paint and wallpaper stores,2020-05-01,1092.0
Paint and wallpaper stores,2020-11-01,1012.0
Paint and wallpaper stores,2020-10-01,1208.0
Paint and wallpaper stores,2020-09-01,1225.0
Pharmacies and drug stores,2020-04-01,23910.0
Pharmacies and drug stores,2020-08-01,24757.0
Pharmacies and drug stores,2020-12-01,27862.0
Pharmacies and drug stores,2020-02-01,23183.0
Pharmacies and drug stores,2020-01-01,24440.0
Pharmacies and drug stores,2020-07-01,25460.0
Pharmacies and drug stores,2020-06-01,24655.0
Pharmacies and drug stores,2020-03-01,26974.0
Pharmacies and drug stores,2020-05-01,23648.0
Pharmacies and drug stores,2020-11-01,24294.0
Pharmacies and drug stores,2020-10-01,26435.0
Pharmacies and drug stores,2020-09-01,25237.0
Restaurants and other eating places,2020-04-01,27674.0
Restaurants and other eating places,2020-08-01,52457.0
Restaurants and other eating places,2020-12-01,47987.0
Restaurants and other eating places,2020-02-01,54911.0
Restaurants and other eating places,2020-01-01,54131.0
Restaurants and other eating places,2020-07-01,51178.0
Restaurants and other eating places,2020-06-01,48350.0
Restaurants and other eating places,2020-03-01,42238.0
Restaurants and other eating places,2020-05-01,39803.0
Restaurants and other eating places,2020-11-01,46984.0
Restaurants and other eating places,2020-10-01,52829.0
Restaurants and other eating places,2020-09-01,50423.0
"Retail and food services sales, total",2020-04-01,407227.0
"Retail and food services sales, total",2020-08-01,545307.0
"Retail and food services sales, total",2020-12-01,611429.0
"Retail and food services sales, total",2020-02-01,478467.0
"Retail and food services sales, total",2020-01-01,480301.0
"Retail and food services sales, total",2020-07-01,549416.0
"Retail and food services sales, total",2020-06-01,532678.0
"Retail and food services sales, total",2020-03-01,478267.0
"Retail and food services sales, total",2020-05-01,504607.0
"Retail and food services sales, total",2020-11-01,543273.0
"Retail and food services sales, total",2020-10-01,553114.0
"Retail and food services sales, total",2020-09-01,530987.0
Retail sales and food services excl gasoline stations,2020-04-01,380417.0
Retail sales and food services excl gasoline stations,2020-08-01,506577.0
Retail sales and food services excl gasoline stations,2020-12-01,574794.0
Retail sales and food services excl gasoline stations,2020-02-01,441504.0
Retail sales and food services excl gasoline stations,2020-01-01,440605.0
Retail sales and food services excl gasoline stations,2020-07-01,510540.0
Retail sales and food services excl gasoline stations,2020-06-01,496364.0
Retail sales and food services excl gasoline stations,2020-03-01,444006.0
Retail sales and food services excl gasoline stations,2020-05-01,472562.0
Retail sales and food services excl gasoline stations,2020-11-01,508879.0
Retail sales and food services excl gasoline stations,2020-10-01,514953.0
Retail sales and food services excl gasoline stations,2020-09-01,493756.0
Retail sales and food services excl motor vehicle and parts,2020-04-01,337693.0
Retail sales and food services excl motor vehicle and parts,2020-08-01,429379.0
Retail sales and food services excl motor vehicle and parts,2020-12-01,494937.0
Retail sales and food services excl motor vehicle and parts,2020-02-01,380639.0
Retail sales and food services excl motor vehicle and parts,2020-01-01,386934.0
Retail sales and food services excl motor vehicle and parts,2020-07-01,433183.0
Retail sales and food services excl motor vehicle and parts,2020-06-01,418450.0
Retail sales and food services excl motor vehicle and parts,2020-03-01,395880.0
Retail sales and food services excl motor vehicle and parts,2020-05-01,397245.0
Retail sales and food services excl motor vehicle and parts,2020-11-01,440053.0
Retail sales and food services excl motor vehicle and parts,2020-10-01,438435.0
Retail sales and food services excl motor vehicle and parts,2020-09-01,417929.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-04-01,310883.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-08-01,390649.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-12-01,458302.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-02-01,343676.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-01-01,347238.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-07-01,394307.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-06-01,382136.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-03-01,361619.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-05-01,365200.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-11-01,405659.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-10-01,400274.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,2020-09-01,380698.0
"Retail sales, total",2020-04-01,377210.0
"Retail sales, total",2020-08-01,488949.0
"Retail sales, total",2020-12-01,559932.0
"Retail sales, total",2020-02-01,415511.0
"Retail sales, total",2020-01-01,418734.0
"Retail sales, total",2020-07-01,494905.0
"Retail sales, total",2020-06-01,481205.0
"Retail sales, total",2020-03-01,430527.0
"Retail sales, total",2020-05-01,462286.0
"Retail sales, total",2020-11-01,492362.0
"Retail sales, total",2020-10-01,495722.0
"Retail sales, total",2020-09-01,476247.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-04-01,307676.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-08-01,373021.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-12-01,443440.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-02-01,317683.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-01-01,325367.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-07-01,378672.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-06-01,366977.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-03-01,348140.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-05-01,354924.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-11-01,389142.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-10-01,381043.0
"Retail sales, total (excl. motor vehicle and parts dealers)",2020-09-01,363189.0
Shoe stores,2020-04-01,462.0
Shoe stores,2020-08-01,2822.0
Shoe stores,2020-12-01,3824.0
Shoe stores,2020-02-01,2701.0
Shoe stores,2020-01-01,2148.0
Shoe stores,2020-07-01,2722.0
Shoe stores,2020-06-01,2692.0
Shoe stores,2020-03-01,1686.0
Shoe stores,2020-05-01,1624.0
Shoe stores,2020-11-01,2617.0
Shoe stores,2020-10-01,2677.0
Shoe stores,2020-09-01,2643.0
Sporting goods stores,2020-04-01,2599.0
Sporting goods stores,2020-08-01,5163.0
Sporting goods stores,2020-12-01,6799.0
Sporting goods stores,2020-02-01,3107.0
Sporting goods stores,2020-01-01,2984.0
Sporting goods stores,2020-07-01,5435.0
Sporting goods stores,2020-06-01,5887.0
Sporting goods stores,2020-03-01,3452.0
Sporting goods stores,2020-05-01,4378.0
Sporting goods stores,2020-11-01,4620.0
Sporting goods stores,2020-10-01,4684.0
Sporting goods stores,2020-09-01,4803.0
"Sporting goods, hobby, musical instrument, and book stores",2020-04-01,3484.0
"Sporting goods, hobby, musical instrument, and book stores",2020-08-01,8218.0
"Sporting goods, hobby, musical instrument, and book stores",2020-12-01,11319.0
"Sporting goods, hobby, musical instrument, and book stores",2020-02-01,5632.0
"Sporting goods, hobby, musical instrument, and book stores",2020-01-01,5867.0
"Sporting goods, hobby, musical instrument, and book stores",2020-07-01,8011.0
"Sporting goods, hobby, musical instrument, and book stores",2020-06-01,8390.0
"Sporting goods, hobby, musical instrument, and book stores",2020-03-01,5287.0
"Sporting goods, hobby, musical instrument, and book stores",2020-05-01,6353.0
"Sporting goods, hobby, musical instrument, and book stores",2020-11-01,8368.0
"Sporting goods, hobby, musical instrument, and book stores",2020-10-01,7657.0
"Sporting goods, hobby, musical instrument, and book stores",2020-09-01,7794.0
Supermarkets and other grocery (except convenience) stores,2020-04-01,62127.0
Supermarkets and other grocery (except convenience) stores,2020-08-01,61571.0
Supermarkets and other grocery (except convenience) stores,2020-12-01,64236.0
Supermarkets and other grocery (except convenience) stores,2020-02-01,53306.0
Supermarkets and other grocery (except convenience) stores,2020-01-01,56141.0
Supermarkets and other grocery (except convenience) stores,2020-07-01,63980.0
Supermarkets and other grocery (except convenience) stores,2020-06-01,61229.0
Supermarkets and other grocery (except convenience) stores,2020-03-01,71296.0
Supermarkets and other grocery (except convenience) stores,2020-05-01,65735.0
Supermarkets and other grocery (except convenience) stores,2020-11-01,61341.0
Supermarkets and other grocery (except convenience) stores,2020-10-01,61259.0
Supermarkets and other grocery (except convenience) stores,2020-09-01,59353.0
Used car dealers,2020-04-01,6504.0
Used car dealers,2020-08-01,12191.0
Used car dealers,2020-12-01,9568.0
Used car dealers,2020-02-01,10780.0
Used car dealers,2020-01-01,9140.0
Used car dealers,2020-07-01,12413.0
Used car dealers,2020-06-01,11966.0
Used car dealers,2020-03-01,9450.0
Used car dealers,2020-05-01,10707.0
Used car dealers,2020-11-01,9954.0
Used car dealers,2020-10-01,10956.0
Used car dealers,2020-09-01,11071.0
Used merchandise stores,2020-04-01,420.0
Used merchandise stores,2020-08-01,1491.0
Used merchandise stores,2020-12-01,1465.0
Used merchandise stores,2020-02-01,1551.0
Used merchandise stores,2020-01-01,1501.0
Used merchandise stores,2020-07-01,1300.0
Used merchandise stores,2020-06-01,1246.0
Used merchandise stores,2020-03-01,1028.0
Used merchandise stores,2020-05-01,882.0
Used merchandise stores,2020-11-01,1537.0
Used merchandise stores,2020-10-01,1607.0
